Source,Target,Weight
Mr. Darcy,Mr. Darcy,0.005357142857142858
Mr. Darcy,Mr. Bingley,0.08650272758267984
Mr. Darcy,Elizabeth,0.08152201740911418
Mr. Darcy,Miss Bingley,0.08319597069597068
Mr. Darcy,Lydia,0.07152480752780153
Mr. Darcy,Lady Catherine,0.07418305378831694
Mr. Darcy,Mary,0.07743316624895571
Mr. Darcy,Georgiana,0.09602380952380953
Mr. Darcy,Collins,0.06933563748079877
Mr. Darcy,Charlotte,0.0736053180396246
Mr. Darcy,Mr. Wickham,0.07910143509458577
Mr. Darcy,Miss de Bourgh,0.07560507674144037
Mr. Darcy,Mr. Bennet,0.0642032967032967
Mr. Darcy,Mrs. Bennet,0.07421790235081374
Mr. Darcy,Jane,0.08373829039812646
Mr. Darcy,Louisa,0.08708791208791208
Mr. Darcy,Mr. Hurst,0.0863095238095238
Mr. Darcy,Lucases,0.07305625790139064
Mr. Darcy,Miss Lucas,0.06375408942202836
Mr. Darcy,Sir William,0.06669734904270985
Mr. Darcy,Mrs. Gardiner,0.08364661654135337
Mr. Darcy,Mr. Gardiner,0.08392857142857142
Mr. Darcy,Mr. Phillips,0.07821428571428571
Mr. Darcy,Mrs. Phillips,0.0769360902255639
Mr. Darcy,Fitzwilliam,0.0998015873015873
Mr. Darcy,Colonel Forster,0.07246240601503759
Mr. Darcy,Mrs. Forster,0.07335714285714286
Mr. Darcy,Mr. Jones,0.07769756838905774
Mr. Bingley,Mr. Darcy,0.07648684997011355
Mr. Bingley,Mr. Bingley,0.005357142857142858
Mr. Bingley,Elizabeth,0.07238223246287762
Mr. Bingley,Miss Bingley,0.0863095238095238
Mr. Bingley,Lydia,0.058800256629597945
Mr. Bingley,Lady Catherine,0.07074175824175824
Mr. Bingley,Mary,0.07494778613199665
Mr. Bingley,Georgiana,0.09602380952380953
Mr. Bingley,Collins,0.06933563748079877
Mr. Bingley,Charlotte,0.0705031282586027
Mr. Bingley,Mr. Wickham,0.05581376386170907
Mr. Bingley,Miss de Bourgh,0.05453069657615112
Mr. Bingley,Mr. Bennet,0.05112637362637363
Mr. Bingley,Mrs. Bennet,0.06345840867992766
Mr. Bingley,Jane,0.07328747072599531
Mr. Bingley,Louisa,0.08708791208791208
Mr. Bingley,Mr. Hurst,0.0863095238095238
Mr. Bingley,Lucases,0.06553413400758533
Mr. Bingley,Miss Lucas,0.06375408942202836
Mr. Bingley,Sir William,0.07107879234167894
Mr. Bingley,Mrs. Gardiner,0.0612781954887218
Mr. Bingley,Mr. Gardiner,0.048214285714285716
Mr. Bingley,Mr. Phillips,0.07821428571428571
Mr. Bingley,Mrs. Phillips,0.06798872180451127
Mr. Bingley,Fitzwilliam,0.07146825396825396
Mr. Bingley,Colonel Forster,0.035181704260651626
Mr. Bingley,Mrs. Forster,0.005357142857142858
Mr. Bingley,Mr. Jones,0.07769756838905774
Elizabeth,Mr. Darcy,0.09426927674835624
Elizabeth,Mr. Bingley,0.09461728605523355
Elizabeth,Elizabeth,0.005357142857142858
Elizabeth,Miss Bingley,0.0863095238095238
Elizabeth,Lydia,0.08933917878528656
Elizabeth,Lady Catherine,0.09483082706766915
Elizabeth,Mary,0.08986006683375103
Elizabeth,Georgiana,0.09602380952380953
Elizabeth,Collins,0.09218509984639017
Elizabeth,Charlotte,0.0891162669447341
Elizabeth,Mr. Wickham,0.09074527071102412
Elizabeth,Miss de Bourgh,0.09667945690672963
Elizabeth,Mr. Bennet,0.09035714285714286
Elizabeth,Mrs. Bennet,0.09143309222423146
Elizabeth,Jane,0.09418911007025761
Elizabeth,Louisa,0.08708791208791208
Elizabeth,Mr. Hurst,0.0863095238095238
Elizabeth,Lucases,0.08810050568900125
Elizabeth,Miss Lucas,0.07673118865866957
Elizabeth,Sir William,0.08422312223858615
Elizabeth,Mrs. Gardiner,0.08923872180451127
Elizabeth,Mr. Gardiner,0.09821428571428571
Elizabeth,Mr. Phillips,0.07821428571428571
Elizabeth,Mrs. Phillips,0.0769360902255639
Elizabeth,Fitzwilliam,0.0998015873015873
Elizabeth,Colonel Forster,0.08737468671679197
Elizabeth,Mrs. Forster,0.09035714285714286
Elizabeth,Mr. Jones,0.07769756838905774
Miss Bingley,Mr. Darcy,0.04981320980274955
Miss Bingley,Mr. Bingley,0.0581017729287419
Miss Bingley,Elizabeth,0.04496287762416795
Miss Bingley,Miss Bingley,0.005357142857142858
Miss Bingley,Lydia,0.03335115483319076
Miss Bingley,Lady Catherine,0.0397700983227299
Miss Bingley,Mary,0.05009398496240601
Miss Bingley,Georgiana,0.06202380952380952
Miss Bingley,Collins,0.04420122887864823
Miss Bingley,Charlotte,0.04568561001042753
Miss Bingley,Mr. Wickham,0.036407371167645135
Miss Bingley,Miss de Bourgh,0.04048110979929162
Miss Bingley,Mr. Bennet,0.03151098901098901
Miss Bingley,Mrs. Bennet,0.037635623869801085
Miss Bingley,Jane,0.04541861826697892
Miss Bingley,Louisa,0.08708791208791208
Miss Bingley,Mr. Hurst,0.0863095238095238
Miss Bingley,Lucases,0.042967762326169404
Miss Bingley,Miss Lucas,0.05726553980370774
Miss Bingley,Sir William,0.057934462444771725
Miss Bingley,Mrs. Gardiner,0.03331766917293233
Miss Bingley,Mr. Gardiner,0.026785714285714288
Miss Bingley,Mr. Phillips,0.05392857142857143
Miss Bingley,Mrs. Phillips,0.05009398496240601
Miss Bingley,Fitzwilliam,0.05257936507936508
Miss Bingley,Colonel Forster,0.035181704260651626
Miss Bingley,Mrs. Forster,0.005357142857142858
Miss Bingley,Mr. Jones,0.059612462006079024
Lydia,Mr. Darcy,0.05159145248057382
Lydia,Mr. Bingley,0.04795857483804978
Lydia,Elizabeth,0.055625960061443935
Lydia,Miss Bingley,0.03960622710622711
Lydia,Lydia,0.005357142857142858
