Source,Target,Weight
Mr. Darcy,Mr. Darcy,0.0
Mr. Darcy,Mr. Bingley,0.1166407465007776
Mr. Darcy,Elizabeth,0.17010005885815185
Mr. Darcy,Miss Bingley,0.12972972972972974
Mr. Darcy,Lydia,0.06682577565632458
Mr. Darcy,Catherine,0.09264305177111716
Mr. Darcy,Mary,0.060542797494780795
Mr. Darcy,Georgiana,0.09090909090909091
Mr. Darcy,Collins,0.18803418803418803
Mr. Darcy,Charlotte,0.11308349769888232
Mr. Darcy,Mr. Wickham,0.13291139240506328
Mr. Darcy,Miss de Bourgh,0.16071428571428573
Mr. Darcy,Mr. Bennet,0.10650887573964497
Mr. Darcy,Mrs. Bennet,0.0744047619047619
Mr. Darcy,Jane,0.08455284552845528
Mr. Darcy,Louisa,0.18181818181818182
Mr. Darcy,Mr. Hurst,0.1282051282051282
Mr. Darcy,Lucases,0.11764705882352941
Mr. Darcy,Miss Lucas,0.13253012048192772
Mr. Darcy,Sir William,0.15789473684210525
Mr. Darcy,Mrs. Gardiner,0.12631578947368421
Mr. Darcy,Mr. Gardiner,0.0945945945945946
Mr. Darcy,Mr. Phillips,0.2857142857142857
Mr. Darcy,Mrs. Phillips,0.11320754716981132
Mr. Darcy,Fitzwilliam,0.19753086419753085
Mr. Darcy,Colonel Forster,0.061224489795918366
Mr. Darcy,Mrs. Forster,0.06896551724137931
Mr. Darcy,Mr. Jones,0.1111111111111111
Mr. Darcy,Lady Catherine,0.10796915167095116
Mr. Bingley,Mr. Darcy,0.0681198910081744
Mr. Bingley,Mr. Bingley,0.0
Mr. Bingley,Elizabeth,0.05650382577987051
Mr. Bingley,Miss Bingley,0.05945945945945946
Mr. Bingley,Lydia,0.02386634844868735
Mr. Bingley,Catherine,0.1553133514986376
Mr. Bingley,Mary,0.025052192066805846
Mr. Bingley,Georgiana,0.2727272727272727
Mr. Bingley,Collins,0.06349206349206349
Mr. Bingley,Charlotte,0.07429322813938198
Mr. Bingley,Mr. Wickham,0.056962025316455694
Mr. Bingley,Miss de Bourgh,0.07142857142857142
Mr. Bingley,Mr. Bennet,0.0650887573964497
Mr. Bingley,Mrs. Bennet,0.08630952380952381
Mr. Bingley,Jane,0.061788617886178863
Mr. Bingley,Louisa,0.09090909090909091
Mr. Bingley,Mr. Hurst,0.07692307692307693
Mr. Bingley,Lucases,0.0784313725490196
Mr. Bingley,Miss Lucas,0.0963855421686747
Mr. Bingley,Sir William,0.10526315789473684
Mr. Bingley,Mrs. Gardiner,0.042105263157894736
Mr. Bingley,Mr. Gardiner,0.013513513513513514
Mr. Bingley,Mr. Phillips,0.14285714285714285
Mr. Bingley,Mrs. Phillips,0.03773584905660377
Mr. Bingley,Fitzwilliam,0.037037037037037035
Mr. Bingley,Colonel Forster,0.02040816326530612
Mr. Bingley,Mrs. Forster,0.0
Mr. Bingley,Mr. Jones,0.0
