Source,Target,Weight
Mr. Darcy,Mr. Darcy,0.005357142857142858
Mr. Darcy,Mr. Bingley,0.13180342384887841
Mr. Darcy,Elizabeth,0.14103021978021976
Mr. Darcy,Miss Bingley,0.13680044182621504
Mr. Darcy,Lydia,0.0650062656641604
Mr. Darcy,Lady Catherine,0.11744505494505494
Mr. Darcy,Mary,0.36827849117174954
Mr. Darcy,Georgiana,0.22904135338345863
Mr. Darcy,Collins,0.04322842998585573
Mr. Darcy,Charlotte,0.04615714285714286
Mr. Darcy,Mr. Wickham,0.1289935064935065
Mr. Darcy,Miss de Bourgh,0.07074175824175824
Mr. Darcy,Mr. Bennet,0.0415273556231003
Mr. Darcy,Mrs. Bennet,0.031919642857142855
Mr. Darcy,Jane,0.09407768157768157
Mr. Darcy,Louisa,0.28869047619047616
Mr. Darcy,Mr. Hurst,0.27098214285714284
Mr. Darcy,Lucases,0.04583333333333333
Mr. Darcy,Miss Lucas,0.04932266009852217
Mr. Darcy,Sir William,0.08442691029900332
Mr. Darcy,Mrs. Gardiner,0.08262987012987012
Mr. Darcy,Mr. Gardiner,0.07927018633540371
Mr. Darcy,Mr. Phillips,0.8553571428571428
Mr. Darcy,Mrs. Phillips,0.005357142857142858
Mr. Darcy,Fitzwilliam,0.3570812807881773
Mr. Darcy,Colonel Forster,0.14702380952380953
Mr. Darcy,Mrs. Forster,0.0998015873015873
Mr. Darcy,Mr. Jones,0.005357142857142858
Mr. Bingley,Mr. Darcy,0.14529616724738678
Mr. Bingley,Mr. Bingley,0.005357142857142858
Mr. Bingley,Elizabeth,0.12141483516483514
Mr. Bingley,Miss Bingley,0.3865427098674521
Mr. Bingley,Lydia,0.05009398496240601
Mr. Bingley,Lady Catherine,0.05206043956043956
Mr. Bingley,Mary,0.06266051364365971
Mr. Bingley,Georgiana,0.13956766917293234
Mr. Bingley,Collins,0.039020509193776524
Mr. Bingley,Charlotte,0.032557142857142854
Mr. Bingley,Mr. Wickham,0.08262987012987012
Mr. Bingley,Miss de Bourgh,0.03804945054945055
Mr. Bingley,Mr. Bennet,0.15003799392097264
Mr. Bingley,Mrs. Bennet,0.14481026785714285
Mr. Bingley,Jane,0.19710798460798462
Mr. Bingley,Louisa,0.28869047619047616
Mr. Bingley,Mr. Hurst,0.21785714285714286
Mr. Bingley,Lucases,0.04583333333333333
Mr. Bingley,Miss Lucas,0.03466748768472906
Mr. Bingley,Sir William,0.0646594684385382
Mr. Bingley,Mrs. Gardiner,0.08262987012987012
Mr. Bingley,Mr. Gardiner,0.005357142857142858
Mr. Bingley,Mr. Phillips,0.005357142857142858
Mr. Bingley,Mrs. Phillips,0.08262987012987012
Mr. Bingley,Fitzwilliam,0.005357142857142858
Mr. Bingley,Colonel Forster,0.005357142857142858
Mr. Bingley,Mrs. Forster,0.005357142857142858
Mr. Bingley,Mr. Jones,0.28869047619047616
Elizabeth,Mr. Darcy,0.220448606271777
Elizabeth,Mr. Bingley,0.17161058638331367
Elizabeth,Elizabeth,0.005357142857142858
Elizabeth,Miss Bingley,0.11489322533136964
Elizabeth,Lydia,0.1917606516290727
Elizabeth,Lady Catherine,0.21085164835164835
Elizabeth,Mary,0.12951444622792938
Elizabeth,Georgiana,0.22904135338345863
Elizabeth,Collins,0.21996110325318247
Elizabeth,Charlotte,0.20935714285714285
Elizabeth,Mr. Wickham,0.20626623376623376
Elizabeth,Miss de Bourgh,0.16881868131868133
Elizabeth,Mr. Bennet,0.11386778115501518
Elizabeth,Mrs. Bennet,0.17801339285714285
Elizabeth,Jane,0.26007094757094756
Elizabeth,Louisa,0.005357142857142858
Elizabeth,Mr. Hurst,0.16473214285714285
Elizabeth,Lucases,0.12678571428571428
Elizabeth,Miss Lucas,0.12259852216748768
Elizabeth,Sir William,0.20303156146179402
Elizabeth,Mrs. Gardiner,0.36596320346320343
Elizabeth,Mr. Gardiner,0.2640527950310559
Elizabeth,Mr. Phillips,0.005357142857142858
Elizabeth,Mrs. Phillips,0.08262987012987012
Elizabeth,Fitzwilliam,0.2105295566502463
Elizabeth,Colonel Forster,0.07619047619047618
Elizabeth,Mrs. Forster,0.0998015873015873
Elizabeth,Mr. Jones,0.005357142857142858
Miss Bingley,Mr. Darcy,0.08310104529616724
Miss Bingley,Mr. Bingley,0.20907615112160569
Miss Bingley,Elizabeth,0.046222527472527475
Miss Bingley,Miss Bingley,0.005357142857142858
Miss Bingley,Lydia,0.027725563909774435
Miss Bingley,Lady Catherine,0.02403846153846154
Miss Bingley,Mary,0.06266051364365971
Miss Bingley,Georgiana,0.09483082706766915
Miss Bingley,Collins,0.009565063649222067
Miss Bingley,Charlotte,0.018957142857142856
Miss Bingley,Mr. Wickham,0.005357142857142858
Miss Bingley,Miss de Bourgh,0.03804945054945055
Miss Bingley,Mr. Bennet,0.005357142857142858
Miss Bingley,Mrs. Bennet,0.005357142857142858
Miss Bingley,Jane,0.08835377585377585
Miss Bingley,Louisa,0.005357142857142858
