Source,Target,Weight
Mr. Darcy,Mr. Darcy,0.016203698036520657
Mr. Darcy,Mr. Bingley,0.14310666950536854
Mr. Darcy,Elizabeth,0.11402994754619081
Mr. Darcy,Miss Bingley,0.07948928661483731
Mr. Darcy,Lydia,0.062140667897726
Mr. Darcy,Lady Catherine,0.09316329952531792
Mr. Darcy,Mary,0.25772715063622914
Mr. Darcy,Georgiana,0.2504806041105547
Mr. Darcy,Collins,0.043640146027382865
Mr. Darcy,Charlotte,0.04474242767677915
Mr. Darcy,Mr. Wickham,0.05857446714348319
Mr. Darcy,Miss de Bourgh,0.04431695496570235
Mr. Darcy,Mr. Bennet,0.01728665696827341
Mr. Darcy,Mrs. Bennet,0.005357142857142858
Mr. Darcy,Jane,0.1143031314484842
Mr. Darcy,Louisa,0.090844555191137
Mr. Darcy,Mr. Hurst,0.05310206836631163
Mr. Darcy,Lucases,0.072295714928284
Mr. Darcy,Miss Lucas,0.06762839619185422
Mr. Darcy,Sir William,0.08414109605396691
Mr. Darcy,Mrs. Gardiner,0.07832062063453449
Mr. Darcy,Mr. Gardiner,0.05610873451666453
Mr. Darcy,Mr. Phillips,0.8553571428571428
Mr. Darcy,Mrs. Phillips,0.02610638851125542
Mr. Darcy,Fitzwilliam,0.290808670321557
Mr. Darcy,Colonel Forster,0.042525262942740234
Mr. Darcy,Mrs. Forster,0.11489184317260026
Mr. Darcy,Mr. Jones,0.005357142857142858
Mr. Bingley,Mr. Darcy,0.10634606087781656
Mr. Bingley,Mr. Bingley,0.008891055923131053
Mr. Bingley,Elizabeth,0.1057765207485936
Mr. Bingley,Miss Bingley,0.0970745370635239
Mr. Bingley,Lydia,0.055791554999809236
Mr. Bingley,Lady Catherine,0.061195230322395947
Mr. Bingley,Mary,0.1150573251890854
Mr. Bingley,Georgiana,0.12600210589107214
Mr. Bingley,Collins,0.0449971912090048
Mr. Bingley,Charlotte,0.032078201119256265
Mr. Bingley,Mr. Wickham,0.051809371611065635
Mr. Bingley,Miss de Bourgh,0.048149940351923645
Mr. Bingley,Mr. Bennet,0.039625552218349264
Mr. Bingley,Mrs. Bennet,0.0817329329975976
Mr. Bingley,Jane,0.1634009782621624
Mr. Bingley,Louisa,0.005357142857142858
Mr. Bingley,Mr. Hurst,0.035290906492776934
Mr. Bingley,Lucases,0.10438035004419838
Mr. Bingley,Miss Lucas,0.056628047379431334
Mr. Bingley,Sir William,0.050762193301892425
Mr. Bingley,Mrs. Gardiner,0.026198787225909573
Mr. Bingley,Mr. Gardiner,0.005357142857142858
Mr. Bingley,Mr. Phillips,0.005357142857142858
Mr. Bingley,Mrs. Phillips,0.06234812735487677
Mr. Bingley,Fitzwilliam,0.010974453260009337
Mr. Bingley,Colonel Forster,0.03443588671433432
Mr. Bingley,Mrs. Forster,0.005357142857142858
Mr. Bingley,Mr. Jones,0.1386724031095088
Elizabeth,Mr. Darcy,0.13012472244047038
Elizabeth,Mr. Bingley,0.1656291768275288
Elizabeth,Elizabeth,0.005357142857142858
Elizabeth,Miss Bingley,0.0488222639654358
Elizabeth,Lydia,0.09105970340803515
Elizabeth,Lady Catherine,0.1858512964869832
Elizabeth,Mary,0.09936832260323106
Elizabeth,Georgiana,0.169699797545236
Elizabeth,Collins,0.21115683763353535
Elizabeth,Charlotte,0.16635884973151938
Elizabeth,Mr. Wickham,0.05910325783858038
Elizabeth,Miss de Bourgh,0.1256791679093349
Elizabeth,Mr. Bennet,0.11060776131954678
Elizabeth,Mrs. Bennet,0.06100527247316869
Elizabeth,Jane,0.24608572928412892
Elizabeth,Louisa,0.03251814987042332
Elizabeth,Mr. Hurst,0.04650480036555497
Elizabeth,Lucases,0.07853697728255526
Elizabeth,Miss Lucas,0.13215901740094144
Elizabeth,Sir William,0.1546369868465564
Elizabeth,Mrs. Gardiner,0.15820177572366811
Elizabeth,Mr. Gardiner,0.17502531149096082
Elizabeth,Mr. Phillips,0.005357142857142858
Elizabeth,Mrs. Phillips,0.060185720044745934
Elizabeth,Fitzwilliam,0.1767158298108362
Elizabeth,Colonel Forster,0.042525262942740234
Elizabeth,Mrs. Forster,0.08041685443893647
Elizabeth,Mr. Jones,0.005357142857142858
Miss Bingley,Mr. Darcy,0.04066452458235509
Miss Bingley,Mr. Bingley,0.05627236666377866
Miss Bingley,Elizabeth,0.01644461708008469
Miss Bingley,Miss Bingley,0.02105753888793537
Miss Bingley,Lydia,0.033728888111204246
Miss Bingley,Lady Catherine,0.03683926031787077
Miss Bingley,Mary,0.08675805482432927
Miss Bingley,Georgiana,0.06675516530793009
Miss Bingley,Collins,0.013408382344628988
Miss Bingley,Charlotte,0.029573963983920364
