Id,Label,Weight
Mr. Darcy,Mr. Darcy,365
Mr. Bingley,Mr. Bingley,178
Elizabeth,Elizabeth,679
Miss Bingley,Miss Bingley,79
Lydia,Lydia,137
Catherine,Catherine,203
Mary,Mary,161
Georgiana,Georgiana,12
Collins,Collins,217
Charlotte,Charlotte,577
Mr. Wickham,Mr. Wickham,57
Miss de Bourgh,Miss de Bourgh,18
Mr. Bennet,Mr. Bennet,82
Mrs. Bennet,Mrs. Bennet,135
Jane,Jane,254
Louisa,Louisa,6
Mr. Hurst,Mr. Hurst,10
Lucases,Lucases,13
Miss Lucas,Miss Lucas,23
Sir William,Sir William,36
Mrs. Gardiner,Mrs. Gardiner,50
Mr. Gardiner,Mr. Gardiner,30
Mr. Phillips,Mr. Phillips,4
Mrs. Phillips,Mrs. Phillips,15
Fitzwilliam,Fitzwilliam,32
Colonel Forster,Colonel Forster,22
Mrs. Forster,Mrs. Forster,9
Mr. Jones,Mr. Jones,4
Lady Catherine,Lady Catherine,99
