Source,Target,Weight
Mr. Darcy,Mr. Darcy,0.0
Mr. Darcy,Mr. Bingley,0.08604206500956023
Mr. Darcy,Elizabeth,0.08878504672897196
Mr. Darcy,Miss Bingley,0.08363636363636363
Mr. Darcy,Lydia,0.0759493670886076
Mr. Darcy,Catherine,0.08431372549019608
Mr. Darcy,Mary,0.07674418604651163
Mr. Darcy,Georgiana,0.09302325581395349
Mr. Darcy,Collins,0.08597285067873303
Mr. Darcy,Charlotte,0.08878504672897196
Mr. Darcy,Mr. Wickham,0.08433734939759036
Mr. Darcy,Miss de Bourgh,0.0896551724137931
Mr. Darcy,Mr. Bennet,0.07467532467532467
Mr. Darcy,Mrs. Bennet,0.08207343412526998
Mr. Darcy,Jane,0.08495575221238938
Mr. Darcy,Louisa,0.09090909090909091
Mr. Darcy,Mr. Hurst,0.08695652173913043
Mr. Darcy,Lucases,0.0859375
Mr. Darcy,Miss Lucas,0.0763888888888889
Mr. Darcy,Sir William,0.0776255707762557
Mr. Darcy,Mrs. Gardiner,0.08771929824561403
Mr. Darcy,Mr. Gardiner,0.09090909090909091
Mr. Darcy,Mr. Phillips,0.075
Mr. Darcy,Mrs. Phillips,0.07339449541284404
Mr. Darcy,Fitzwilliam,0.0970873786407767
Mr. Darcy,Colonel Forster,0.08088235294117647
Mr. Darcy,Mrs. Forster,0.0847457627118644
Mr. Darcy,Mr. Jones,0.07407407407407407
Mr. Darcy,Lady Catherine,0.08695652173913043
Mr. Bingley,Mr. Darcy,0.07246376811594203
Mr. Bingley,Mr. Bingley,0.0
Mr. Bingley,Elizabeth,0.07320872274143302
Mr. Bingley,Miss Bingley,0.08363636363636363
Mr. Bingley,Lydia,0.05822784810126582
Mr. Bingley,Catherine,0.08627450980392157
Mr. Bingley,Mary,0.06046511627906977
Mr. Bingley,Georgiana,0.09302325581395349
Mr. Bingley,Collins,0.07692307692307693
Mr. Bingley,Charlotte,0.07320872274143302
Mr. Bingley,Mr. Wickham,0.060240963855421686
Mr. Bingley,Miss de Bourgh,0.06206896551724138
Mr. Bingley,Mr. Bennet,0.05519480519480519
Mr. Bingley,Mrs. Bennet,0.06263498920086392
Mr. Bingley,Jane,0.07256637168141593
Mr. Bingley,Louisa,0.07272727272727272
Mr. Bingley,Mr. Hurst,0.07246376811594203
Mr. Bingley,Lucases,0.0625
Mr. Bingley,Miss Lucas,0.0763888888888889
Mr. Bingley,Sir William,0.0821917808219178
Mr. Bingley,Mrs. Gardiner,0.06432748538011696
Mr. Bingley,Mr. Gardiner,0.05303030303030303
Mr. Bingley,Mr. Phillips,0.075
Mr. Bingley,Mrs. Phillips,0.06422018348623854
Mr. Bingley,Fitzwilliam,0.07766990291262135
Mr. Bingley,Colonel Forster,0.03676470588235294
Mr. Bingley,Mrs. Forster,0.0
Mr. Bingley,Mr. Jones,0.07407407407407407
Mr. Bingley,Lady Catherine,0.0802675585284281
Elizabeth,Mr. Darcy,0.09178743961352658
Elizabeth,Mr. Bingley,0.08986615678776291
Elizabeth,Elizabeth,0.0
Elizabeth,Miss Bingley,0.08727272727272728
Elizabeth,Lydia,0.0810126582278481
Elizabeth,Catherine,0.08823529411764706
Elizabeth,Mary,0.08139534883720931
Elizabeth,Georgiana,0.09302325581395349
Elizabeth,Collins,0.08597285067873303
Elizabeth,Charlotte,0.09345794392523364
Elizabeth,Mr. Wickham,0.08835341365461848
Elizabeth,Miss de Bourgh,0.0896551724137931
Elizabeth,Mr. Bennet,0.08116883116883117
Elizabeth,Mrs. Bennet,0.08639308855291576
Elizabeth,Jane,0.09026548672566372
Elizabeth,Louisa,0.09090909090909091
Elizabeth,Mr. Hurst,0.08695652173913043
Elizabeth,Lucases,0.0859375
Elizabeth,Miss Lucas,0.0763888888888889
Elizabeth,Sir William,0.0776255707762557
Elizabeth,Mrs. Gardiner,0.08771929824561403
Elizabeth,Mr. Gardiner,0.09848484848484848
Elizabeth,Mr. Phillips,0.075
Elizabeth,Mrs. Phillips,0.07339449541284404
Elizabeth,Fitzwilliam,0.0970873786407767
Elizabeth,Colonel Forster,0.08088235294117647
Elizabeth,Mrs. Forster,0.0847457627118644
Elizabeth,Mr. Jones,0.07407407407407407
Elizabeth,Lady Catherine,0.08695652173913043
Miss Bingley,Mr. Darcy,0.037037037037037035
Miss Bingley,Mr. Bingley,0.04397705544933078
Miss Bingley,Elizabeth,0.037383177570093455
Miss Bingley,Miss Bingley,0.0
Miss Bingley,Lydia,0.02531645569620253
Miss Bingley,Catherine,0.043137254901960784
Miss Bingley,Mary,0.027906976744186046
Miss Bingley,Georgiana,0.05813953488372093
Miss Bingley,Collins,0.033936651583710405
Miss Bingley,Charlotte,0.037383177570093455
Miss Bingley,Mr. Wickham,0.028112449799196786
Miss Bingley,Miss de Bourgh,0.034482758620689655
Miss Bingley,Mr. Bennet,0.022727272727272728
Miss Bingley,Mrs. Bennet,0.028077753779697623
Miss Bingley,Jane,0.035398230088495575
Miss Bingley,Louisa,0.09090909090909091
Miss Bingley,Mr. Hurst,0.08695652173913043
Miss Bingley,Lucases,0.03125
Miss Bingley,Miss Lucas,0.04861111111111111
Miss Bingley,Sir William,0.0502283105022831
Miss Bingley,Mrs. Gardiner,0.023391812865497075
Miss Bingley,Mr. Gardiner,0.015151515151515152
Miss Bingley,Mr. Phillips,0.05
Miss Bingley,Mrs. Phillips,0.03669724770642202
Miss Bingley,Fitzwilliam,0.038834951456310676
Miss Bingley,Colonel Forster,0.029411764705882353
Miss Bingley,Mrs. Forster,0.0
Miss Bingley,Mr. Jones,0.05555555555555555
Miss Bingley,Lady Catherine,0.030100334448160536
Lydia,Mr. Darcy,0.04830917874396135
Lydia,Mr. Bingley,0.04397705544933078
Lydia,Elizabeth,0.04984423676012461
Lydia,Miss Bingley,0.03636363636363636
Lydia,Lydia,0.0
Lydia,Catherine,0.045098039215686274
Lydia,Mary,0.07674418604651163
Lydia,Georgiana,0.03488372093023256
Lydia,Collins,0.049773755656108594
Lydia,Charlotte,0.04984423676012461
Lydia,Mr. Wickham,0.05220883534136546
Lydia,Miss de Bourgh,0.041379310344827586
Lydia,Mr. Bennet,0.07792207792207792
Lydia,Mrs. Bennet,0.06479481641468683
Lydia,Jane,0.05486725663716814
Lydia,Louisa,0.01818181818181818
Lydia,Mr. Hurst,0.028985507246376812
Lydia,Lucases,0.046875
Lydia,Miss Lucas,0.041666666666666664
Lydia,Sir William,0.0410958904109589
Lydia,Mrs. Gardiner,0.05263157894736842
Lydia,Mr. Gardiner,0.05303030303030303
Lydia,Mr. Phillips,0.05
Lydia,Mrs. Phillips,0.06422018348623854
Lydia,Fitzwilliam,0.019417475728155338
Lydia,Colonel Forster,0.07352941176470588
Lydia,Mrs. Forster,0.0847457627118644
Lydia,Mr. Jones,0.05555555555555555
Lydia,Lady Catherine,0.046822742474916385
Catherine,Mr. Darcy,0.06924315619967794
Catherine,Mr. Bingley,0.0841300191204589
Catherine,Elizabeth,0.07009345794392523
Catherine,Miss Bingley,0.08
Catherine,Lydia,0.05822784810126582
Catherine,Catherine,0.0
Catherine,Mary,0.06046511627906977
Catherine,Georgiana,0.06976744186046512
Catherine,Collins,0.07692307692307693
Catherine,Charlotte,0.07009345794392523
Catherine,Mr. Wickham,0.060240963855421686
Catherine,Miss de Bourgh,0.07586206896551724
Catherine,Mr. Bennet,0.05519480519480519
Catherine,Mrs. Bennet,0.06263498920086392
Catherine,Jane,0.06725663716814159
Catherine,Louisa,0.05454545454545454
Catherine,Mr. Hurst,0.07246376811594203
Catherine,Lucases,0.0625
Catherine,Miss Lucas,0.06944444444444445
Catherine,Sir William,0.0821917808219178
Catherine,Mrs. Gardiner,0.05263157894736842
Catherine,Mr. Gardiner,0.03787878787878788
Catherine,Mr. Phillips,0.075
Catherine,Mrs. Phillips,0.06422018348623854
Catherine,Fitzwilliam,0.07766990291262135
Catherine,Colonel Forster,0.04411764705882353
Catherine,Mrs. Forster,0.0
Catherine,Mr. Jones,0.07407407407407407
Catherine,Lady Catherine,0.08695652173913043
Mary,Mr. Darcy,0.05314009661835749
Mary,Mr. Bingley,0.0497131931166348
Mary,Elizabeth,0.05451713395638629
Mary,Miss Bingley,0.04363636363636364
Mary,Lydia,0.08354430379746836
Mary,Catherine,0.050980392156862744
Mary,Mary,0.0
Mary,Georgiana,0.03488372093023256
Mary,Collins,0.05203619909502263
Mary,Charlotte,0.05451713395638629
Mary,Mr. Wickham,0.05220883534136546
Mary,Miss de Bourgh,0.041379310344827586
Mary,Mr. Bennet,0.08116883116883117
Mary,Mrs. Bennet,0.06911447084233262
Mary,Jane,0.06017699115044248
Mary,Louisa,0.01818181818181818
Mary,Mr. Hurst,0.028985507246376812
Mary,Lucases,0.0703125
Mary,Miss Lucas,0.0625
Mary,Sir William,0.0547945205479452
Mary,Mrs. Gardiner,0.05263157894736842
Mary,Mr. Gardiner,0.05303030303030303
Mary,Mr. Phillips,0.05
Mary,Mrs. Phillips,0.06422018348623854
Mary,Fitzwilliam,0.019417475728155338
Mary,Colonel Forster,0.08088235294117647
Mary,Mrs. Forster,0.0847457627118644
Mary,Mr. Jones,0.05555555555555555
Mary,Lady Catherine,0.05016722408026756
Georgiana,Mr. Darcy,0.01288244766505636
Georgiana,Mr. Bingley,0.015296367112810707
Georgiana,Elizabeth,0.012461059190031152
Georgiana,Miss Bingley,0.01818181818181818
Georgiana,Lydia,0.007594936708860759
Georgiana,Catherine,0.011764705882352941
Georgiana,Mary,0.0069767441860465115
Georgiana,Georgiana,0.0
Georgiana,Collins,0.011312217194570135
Georgiana,Charlotte,0.012461059190031152
Georgiana,Mr. Wickham,0.008032128514056224
Georgiana,Miss de Bourgh,0.020689655172413793
Georgiana,Mr. Bennet,0.003246753246753247
Georgiana,Mrs. Bennet,0.008639308855291577
Georgiana,Jane,0.008849557522123894
Georgiana,Louisa,0.03636363636363636
Georgiana,Mr. Hurst,0.014492753623188406
Georgiana,Lucases,0.0078125
Georgiana,Miss Lucas,0.006944444444444444
Georgiana,Sir William,0.0045662100456621
Georgiana,Mrs. Gardiner,0.017543859649122806
Georgiana,Mr. Gardiner,0.015151515151515152
Georgiana,Mr. Phillips,0.0
Georgiana,Mrs. Phillips,0.0
Georgiana,Fitzwilliam,0.019417475728155338
Georgiana,Colonel Forster,0.0
Georgiana,Mrs. Forster,0.0
Georgiana,Mr. Jones,0.0
Georgiana,Lady Catherine,0.013377926421404682
Collins,Mr. Darcy,0.061191626409017714
Collins,Mr. Bingley,0.06500956022944551
Collins,Elizabeth,0.059190031152647975
Collins,Miss Bingley,0.05454545454545454
Collins,Lydia,0.05569620253164557
Collins,Catherine,0.06666666666666667
Collins,Mary,0.053488372093023255
Collins,Georgiana,0.05813953488372093
Collins,Collins,0.0
Collins,Charlotte,0.059190031152647975
Collins,Mr. Wickham,0.04819277108433735
Collins,Miss de Bourgh,0.07586206896551724
Collins,Mr. Bennet,0.05519480519480519
Collins,Mrs. Bennet,0.06047516198704104
Collins,Jane,0.05663716814159292
Collins,Louisa,0.03636363636363636
Collins,Mr. Hurst,0.043478260869565216
Collins,Lucases,0.046875
Collins,Miss Lucas,0.05555555555555555
Collins,Sir William,0.0547945205479452
Collins,Mrs. Gardiner,0.04678362573099415
Collins,Mr. Gardiner,0.03787878787878788
Collins,Mr. Phillips,0.05
Collins,Mrs. Phillips,0.05504587155963303
Collins,Fitzwilliam,0.06796116504854369
Collins,Colonel Forster,0.04411764705882353
Collins,Mrs. Forster,0.03389830508474576
Collins,Mr. Jones,0.037037037037037035
Collins,Lady Catherine,0.08695652173913043
Charlotte,Mr. Darcy,0.09178743961352658
Charlotte,Mr. Bingley,0.08986615678776291
Charlotte,Elizabeth,0.09345794392523364
Charlotte,Miss Bingley,0.08727272727272728
Charlotte,Lydia,0.0810126582278481
Charlotte,Catherine,0.08823529411764706
Charlotte,Mary,0.08139534883720931
Charlotte,Georgiana,0.09302325581395349
Charlotte,Collins,0.08597285067873303
Charlotte,Charlotte,0.0
Charlotte,Mr. Wickham,0.08835341365461848
Charlotte,Miss de Bourgh,0.0896551724137931
Charlotte,Mr. Bennet,0.08116883116883117
Charlotte,Mrs. Bennet,0.08639308855291576
Charlotte,Jane,0.09026548672566372
Charlotte,Louisa,0.09090909090909091
Charlotte,Mr. Hurst,0.08695652173913043
Charlotte,Lucases,0.0859375
Charlotte,Miss Lucas,0.0763888888888889
Charlotte,Sir William,0.0776255707762557
Charlotte,Mrs. Gardiner,0.08771929824561403
Charlotte,Mr. Gardiner,0.09848484848484848
Charlotte,Mr. Phillips,0.075
Charlotte,Mrs. Phillips,0.07339449541284404
Charlotte,Fitzwilliam,0.0970873786407767
Charlotte,Colonel Forster,0.08088235294117647
Charlotte,Mrs. Forster,0.0847457627118644
Charlotte,Mr. Jones,0.07407407407407407
Charlotte,Lady Catherine,0.08695652173913043
Mr. Wickham,Mr. Darcy,0.033816425120772944
Mr. Wickham,Mr. Bingley,0.028680688336520075
Mr. Wickham,Elizabeth,0.03426791277258567
Mr. Wickham,Miss Bingley,0.025454545454545455
Mr. Wickham,Lydia,0.03291139240506329
Mr. Wickham,Catherine,0.029411764705882353
Mr. Wickham,Mary,0.030232558139534883
Mr. Wickham,Georgiana,0.023255813953488372
Mr. Wickham,Collins,0.027149321266968326
Mr. Wickham,Charlotte,0.03426791277258567
Mr. Wickham,Mr. Wickham,0.0
Mr. Wickham,Miss de Bourgh,0.041379310344827586
Mr. Wickham,Mr. Bennet,0.032467532467532464
Mr. Wickham,Mrs. Bennet,0.032397408207343416
Mr. Wickham,Jane,0.03185840707964602
Mr. Wickham,Louisa,0.01818181818181818
Mr. Wickham,Mr. Hurst,0.014492753623188406
Mr. Wickham,Lucases,0.03125
Mr. Wickham,Miss Lucas,0.027777777777777776
Mr. Wickham,Sir William,0.0273972602739726
Mr. Wickham,Mrs. Gardiner,0.04093567251461988
Mr. Wickham,Mr. Gardiner,0.05303030303030303
Mr. Wickham,Mr. Phillips,0.05
Mr. Wickham,Mrs. Phillips,0.045871559633027525
Mr. Wickham,Fitzwilliam,0.04854368932038835
Mr. Wickham,Colonel Forster,0.029411764705882353
Mr. Wickham,Mrs. Forster,0.05084745762711865
Mr. Wickham,Mr. Jones,0.018518518518518517
Mr. Wickham,Lady Catherine,0.026755852842809364
Miss de Bourgh,Mr. Darcy,0.020933977455716585
Miss de Bourgh,Mr. Bingley,0.017208413001912046
Miss de Bourgh,Elizabeth,0.020249221183800622
Miss de Bourgh,Miss Bingley,0.01818181818181818
Miss de Bourgh,Lydia,0.015189873417721518
Miss de Bourgh,Catherine,0.021568627450980392
Miss de Bourgh,Mary,0.013953488372093023
Miss de Bourgh,Georgiana,0.03488372093023256
Miss de Bourgh,Collins,0.024886877828054297
Miss de Bourgh,Charlotte,0.020249221183800622
Miss de Bourgh,Mr. Wickham,0.024096385542168676
Miss de Bourgh,Miss de Bourgh,0.0
Miss de Bourgh,Mr. Bennet,0.012987012987012988
Miss de Bourgh,Mrs. Bennet,0.019438444924406047
Miss de Bourgh,Jane,0.012389380530973451
Miss de Bourgh,Louisa,0.01818181818181818
Miss de Bourgh,Mr. Hurst,0.014492753623188406
Miss de Bourgh,Lucases,0.0
Miss de Bourgh,Miss Lucas,0.020833333333333332
Miss de Bourgh,Sir William,0.0228310502283105
Miss de Bourgh,Mrs. Gardiner,0.0
Miss de Bourgh,Mr. Gardiner,0.007575757575757576
Miss de Bourgh,Mr. Phillips,0.025
Miss de Bourgh,Mrs. Phillips,0.009174311926605505
Miss de Bourgh,Fitzwilliam,0.02912621359223301
Miss de Bourgh,Colonel Forster,0.014705882352941176
Miss de Bourgh,Mrs. Forster,0.01694915254237288
Miss de Bourgh,Mr. Jones,0.0
Miss de Bourgh,Lady Catherine,0.033444816053511704
Mr. Bennet,Mr. Darcy,0.037037037037037035
Mr. Bennet,Mr. Bingley,0.032504780114722756
Mr. Bennet,Elizabeth,0.03894080996884735
Mr. Bennet,Miss Bingley,0.025454545454545455
Mr. Bennet,Lydia,0.060759493670886074
Mr. Bennet,Catherine,0.03333333333333333
Mr. Bennet,Mary,0.05813953488372093
Mr. Bennet,Georgiana,0.011627906976744186
Mr. Bennet,Collins,0.038461538461538464
Mr. Bennet,Charlotte,0.03894080996884735
Mr. Bennet,Mr. Wickham,0.040160642570281124
Mr. Bennet,Miss de Bourgh,0.027586206896551724
Mr. Bennet,Mr. Bennet,0.0
Mr. Bennet,Mrs. Bennet,0.05183585313174946
Mr. Bennet,Jane,0.04424778761061947
Mr. Bennet,Louisa,0.01818181818181818
Mr. Bennet,Mr. Hurst,0.028985507246376812
Mr. Bennet,Lucases,0.0234375
Mr. Bennet,Miss Lucas,0.041666666666666664
Mr. Bennet,Sir William,0.0365296803652968
Mr. Bennet,Mrs. Gardiner,0.03508771929824561
Mr. Bennet,Mr. Gardiner,0.045454545454545456
Mr. Bennet,Mr. Phillips,0.025
Mr. Bennet,Mrs. Phillips,0.05504587155963303
Mr. Bennet,Fitzwilliam,0.019417475728155338
Mr. Bennet,Colonel Forster,0.051470588235294115
Mr. Bennet,Mrs. Forster,0.0847457627118644
Mr. Bennet,Mr. Jones,0.037037037037037035
Mr. Bennet,Lady Catherine,0.030100334448160536
Mrs. Bennet,Mr. Darcy,0.061191626409017714
Mrs. Bennet,Mr. Bingley,0.055449330783938815
Mrs. Bennet,Elizabeth,0.06230529595015576
Mrs. Bennet,Miss Bingley,0.04727272727272727
Mrs. Bennet,Lydia,0.0759493670886076
Mrs. Bennet,Catherine,0.056862745098039215
Mrs. Bennet,Mary,0.07441860465116279
Mrs. Bennet,Georgiana,0.046511627906976744
Mrs. Bennet,Collins,0.06334841628959276
Mrs. Bennet,Charlotte,0.06230529595015576
Mrs. Bennet,Mr. Wickham,0.060240963855421686
Mrs. Bennet,Miss de Bourgh,0.06206896551724138
Mrs. Bennet,Mr. Bennet,0.07792207792207792
Mrs. Bennet,Mrs. Bennet,0.0
Mrs. Bennet,Jane,0.06548672566371681
Mrs. Bennet,Louisa,0.03636363636363636
Mrs. Bennet,Mr. Hurst,0.057971014492753624
Mrs. Bennet,Lucases,0.078125
Mrs. Bennet,Miss Lucas,0.0625
Mrs. Bennet,Sir William,0.045662100456621
Mrs. Bennet,Mrs. Gardiner,0.04678362573099415
Mrs. Bennet,Mr. Gardiner,0.05303030303030303
Mrs. Bennet,Mr. Phillips,0.05
Mrs. Bennet,Mrs. Phillips,0.06422018348623854
Mrs. Bennet,Fitzwilliam,0.02912621359223301
Mrs. Bennet,Colonel Forster,0.0661764705882353
Mrs. Bennet,Mrs. Forster,0.0847457627118644
Mrs. Bennet,Mr. Jones,0.05555555555555555
Mrs. Bennet,Lady Catherine,0.05351170568561873
Jane,Mr. Darcy,0.07729468599033816
Jane,Mr. Bingley,0.07839388145315487
Jane,Elizabeth,0.0794392523364486
Jane,Miss Bingley,0.07272727272727272
Jane,Lydia,0.07848101265822785
Jane,Catherine,0.07450980392156863
Jane,Mary,0.07906976744186046
Jane,Georgiana,0.05813953488372093
Jane,Collins,0.07239819004524888
Jane,Charlotte,0.0794392523364486
Jane,Mr. Wickham,0.07228915662650602
Jane,Miss de Bourgh,0.04827586206896552
Jane,Mr. Bennet,0.08116883116883117
Jane,Mrs. Bennet,0.07991360691144708
Jane,Jane,0.0
Jane,Louisa,0.07272727272727272
Jane,Mr. Hurst,0.08695652173913043
Jane,Lucases,0.0859375
Jane,Miss Lucas,0.0763888888888889
Jane,Sir William,0.0684931506849315
Jane,Mrs. Gardiner,0.07602339181286549
Jane,Mr. Gardiner,0.08333333333333333
Jane,Mr. Phillips,0.05
Jane,Mrs. Phillips,0.06422018348623854
Jane,Fitzwilliam,0.07766990291262135
Jane,Colonel Forster,0.07352941176470588
Jane,Mrs. Forster,0.0847457627118644
Jane,Mr. Jones,0.07407407407407407
Jane,Lady Catherine,0.06688963210702341
Louisa,Mr. Darcy,0.008051529790660225
Louisa,Mr. Bingley,0.0076481835564053535
Louisa,Elizabeth,0.00778816199376947
Louisa,Miss Bingley,0.01818181818181818
Louisa,Lydia,0.002531645569620253
Louisa,Catherine,0.0058823529411764705
Louisa,Mary,0.002325581395348837
Louisa,Georgiana,0.023255813953488372
Louisa,Collins,0.004524886877828055
Louisa,Charlotte,0.00778816199376947
Louisa,Mr. Wickham,0.004016064257028112
Louisa,Miss de Bourgh,0.006896551724137931
Louisa,Mr. Bennet,0.003246753246753247
Louisa,Mrs. Bennet,0.004319654427645789
Louisa,Jane,0.007079646017699115
Louisa,Louisa,0.0
Louisa,Mr. Hurst,0.057971014492753624
Louisa,Lucases,0.0
Louisa,Miss Lucas,0.006944444444444444
Louisa,Sir William,0.0045662100456621
Louisa,Mrs. Gardiner,0.005847953216374269
Louisa,Mr. Gardiner,0.007575757575757576
Louisa,Mr. Phillips,0.025
Louisa,Mrs. Phillips,0.009174311926605505
Louisa,Fitzwilliam,0.0
Louisa,Colonel Forster,0.007352941176470588
Louisa,Mrs. Forster,0.0
Louisa,Mr. Jones,0.037037037037037035
Louisa,Lady Catherine,0.0
Mr. Hurst,Mr. Darcy,0.00966183574879227
Mr. Hurst,Mr. Bingley,0.009560229445506692
Mr. Hurst,Elizabeth,0.009345794392523364
Mr. Hurst,Miss Bingley,0.02181818181818182
Mr. Hurst,Lydia,0.005063291139240506
Mr. Hurst,Catherine,0.00980392156862745
Mr. Hurst,Mary,0.004651162790697674
Mr. Hurst,Georgiana,0.011627906976744186
Mr. Hurst,Collins,0.006787330316742082
Mr. Hurst,Charlotte,0.009345794392523364
Mr. Hurst,Mr. Wickham,0.004016064257028112
Mr. Hurst,Miss de Bourgh,0.006896551724137931
Mr. Hurst,Mr. Bennet,0.006493506493506494
Mr. Hurst,Mrs. Bennet,0.008639308855291577
Mr. Hurst,Jane,0.010619469026548672
Mr. Hurst,Louisa,0.07272727272727272
Mr. Hurst,Mr. Hurst,0.0
Mr. Hurst,Lucases,0.0
Mr. Hurst,Miss Lucas,0.013888888888888888
Mr. Hurst,Sir William,0.0091324200913242
Mr. Hurst,Mrs. Gardiner,0.0
Mr. Hurst,Mr. Gardiner,0.0
Mr. Hurst,Mr. Phillips,0.025
Mr. Hurst,Mrs. Phillips,0.009174311926605505
Mr. Hurst,Fitzwilliam,0.0
Mr. Hurst,Colonel Forster,0.007352941176470588
Mr. Hurst,Mrs. Forster,0.0
Mr. Hurst,Mr. Jones,0.037037037037037035
Mr. Hurst,Lady Catherine,0.0
Lucases,Mr. Darcy,0.017713365539452495
Lucases,Mr. Bingley,0.015296367112810707
