Source,Target,Weight
Mr. Darcy,Mr. Darcy,0.0
Mr. Darcy,Mr. Bingley,0.07191011235955057
Mr. Darcy,Elizabeth,0.19121813031161472
Mr. Darcy,Miss Bingley,0.13274336283185842
Mr. Darcy,Lydia,0.0375
Mr. Darcy,Catherine,0.06055363321799308
Mr. Darcy,Mary,0.034666666666666665
Mr. Darcy,Georgiana,0.03125
Mr. Darcy,Collins,0.25035360678925034
Mr. Darcy,Charlotte,0.08213716108452951
Mr. Darcy,Mr. Wickham,0.12903225806451613
Mr. Darcy,Miss de Bourgh,0.09302325581395349
Mr. Darcy,Mr. Bennet,0.11842105263157894
Mr. Darcy,Mrs. Bennet,0.07954545454545454
Mr. Darcy,Jane,0.07772020725388601
Mr. Darcy,Louisa,0.0
Mr. Darcy,Mr. Hurst,0.2222222222222222
Mr. Darcy,Lucases,0.125
Mr. Darcy,Miss Lucas,0.12962962962962962
Mr. Darcy,Sir William,0.203125
Mr. Darcy,Mrs. Gardiner,0.06666666666666667
Mr. Darcy,Mr. Gardiner,0.07894736842105263
Mr. Darcy,Mr. Phillips,0.5
Mr. Darcy,Mrs. Phillips,0.15151515151515152
Mr. Darcy,Fitzwilliam,0.2558139534883721
Mr. Darcy,Colonel Forster,0.1111111111111111
Mr. Darcy,Mrs. Forster,0.058823529411764705
Mr. Darcy,Mr. Jones,0.3333333333333333
Mr. Darcy,Lady Catherine,0.07575757575757576
Mr. Bingley,Mr. Darcy,0.03965303593556382
Mr. Bingley,Mr. Bingley,0.0
Mr. Bingley,Elizabeth,0.04320113314447592
Mr. Bingley,Miss Bingley,0.02654867256637168
Mr. Bingley,Lydia,0.015625
Mr. Bingley,Catherine,0.1903114186851211
Mr. Bingley,Mary,0.013333333333333334
Mr. Bingley,Georgiana,0.4375
Mr. Bingley,Collins,0.039603960396039604
Mr. Bingley,Charlotte,0.08931419457735247
Mr. Bingley,Mr. Wickham,0.053763440860215055
Mr. Bingley,Miss de Bourgh,0.06976744186046512
Mr. Bingley,Mr. Bennet,0.09210526315789473
Mr. Bingley,Mrs. Bennet,0.08522727272727272
Mr. Bingley,Jane,0.054404145077720206
Mr. Bingley,Louisa,0.5
Mr. Bingley,Mr. Hurst,0.05555555555555555
Mr. Bingley,Lucases,0.0
Mr. Bingley,Miss Lucas,0.1111111111111111
Mr. Bingley,Sir William,0.0625
Mr. Bingley,Mrs. Gardiner,0.0
Mr. Bingley,Mr. Gardiner,0.02631578947368421
Mr. Bingley,Mr. Phillips,0.0
Mr. Bingley,Mrs. Phillips,0.030303030303030304
Mr. Bingley,Fitzwilliam,0.0
Mr. Bingley,Colonel Forster,0.05555555555555555
Mr. Bingley,Mrs. Forster,0.0
Mr. Bingley,Mr. Jones,0.0
Mr. Bingley,Lady Catherine,0.02727272727272727
