Id,Label,Weight
Mr. Darcy,Mr. Darcy,50
Mr. Bingley,Mr. Bingley,44
Elizabeth,Elizabeth,61
Miss Bingley,Miss Bingley,26
Lydia,Lydia,33
Lady Catherine,Lady Catherine,26
Mary,Mary,34
Georgiana,Georgiana,8
Collins,Collins,38
Charlotte,Charlotte,27
Mr. Wickham,Mr. Wickham,22
Miss de Bourgh,Miss de Bourgh,13
Mr. Bennet,Mr. Bennet,26
Mrs. Bennet,Mrs. Bennet,40
Jane,Jane,51
Louisa,Louisa,5
Mr. Hurst,Mr. Hurst,6
Lucases,Lucases,11
Miss Lucas,Miss Lucas,11
Sir William,Sir William,18
Mrs. Gardiner,Mrs. Gardiner,15
Mr. Gardiner,Mr. Gardiner,13
Mr. Phillips,Mr. Phillips,3
Mrs. Phillips,Mrs. Phillips,8
Fitzwilliam,Fitzwilliam,10
Colonel Forster,Colonel Forster,11
Mrs. Forster,Mrs. Forster,5
Mr. Jones,Mr. Jones,4
